,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,GlobalSales,Global_Sales,player_demographic
2103,2131,de Blob,Wii,2008-01-01,Platform,THQ,0.5,0.37,0.0,0.1,0.97,0.0116040130545146,General
2104,2132,NCAA Football 06,XB,2005-01-01,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,0.0116040130545146,General
2105,2133,Mass Effect 3,PC,2012-01-01,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97,0.0116040130545146,General
2106,2134,NBA 2K10,X360,2009-01-01,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,0.0116040130545146,General
2107,2135,Fire Emblem,GBA,2003-01-01,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,0.0116040130545146,General
2108,2137,Skylanders: Spyro's Adventure,X360,2011-01-01,Action,Activision,0.53,0.35,0.0,0.1,0.97,0.0116040130545146,Hardcore
2109,2138,Club Penguin: Game Day!,Wii,2010-01-01,Sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97,0.0116040130545146,General
2110,2139,NHL 2004,PS2,2003-01-01,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,0.0116040130545146,General
2111,2140,Grand Theft Auto: Vice City Stories,PS2,2007-01-01,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,0.0116040130545146,Hardcore
2112,2141,NBA 2K16,X360,2015-01-01,Sports,Take-Two Interactive,0.77,0.1,0.0,0.1,0.97,0.0116040130545146,General
2113,2142,FIFA Soccer 2005,XB,2004-01-01,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,0.0116040130545146,General
2114,2143,LEGO The Lord of the Rings,Wii,2012-01-01,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0.0,0.08,0.97,0.0116040130545146,Hardcore
2115,2144,Romancing SaGa,SNES,1992-01-01,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97,0.0116040130545146,General
2116,2145,Donkey Kong Junior,2600,1981-01-01,Platform,Atari,0.9,0.05,0.0,0.01,0.97,0.0116040130545146,General
2117,2146,LEGO Star Wars II: The Original Trilogy,GC,2006-01-01,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,0.0116040130545146,Hardcore
2118,2148,Final Fantasy X / X-2 HD Remaster,PSV,2013-01-01,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97,0.0116040130545146,General
2119,2149,Medal of Honor: Underground,PS,2000-01-01,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97,0.0116040130545146,Hardcore
2120,2150,The Sims 2,DS,2005-01-01,Simulation,Electronic Arts,0.82,0.07,0.0,0.07,0.96,0.0114831379185301,General
2121,2151,Dark Cloud 2,PS2,2002-01-01,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,0.0114831379185301,General
2122,2152,Jampack Summer '99,PS,1999-01-01,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96,0.0114831379185301,General
2123,2153,PlayStation All-Stars Battle Royale,PS3,2012-01-01,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,0.0114831379185301,Hardcore
2124,2154,Dance Dance Revolution 2nd ReMIX,PS,1999-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96,0.0114831379185301,General
2125,2155,Monster High: Ghoul Spirit,DS,2011-01-01,Misc,THQ,0.72,0.17,0.0,0.07,0.96,0.0114831379185301,General
2126,2156,Dragon Quest X,Wii,2012-01-01,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,0.0114831379185301,General
2127,2157,LEGO Pirates of the Caribbean: The Video Game,DS,2011-01-01,Action,Disney Interactive Studios,0.37,0.49,0.0,0.1,0.96,0.0114831379185301,Hardcore
2128,2158,Gangs of London,PSP,2006-01-01,Adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96,0.0114831379185301,Casual
2129,2159,Mortal Kombat Trilogy,N64,1996-01-01,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,0.0114831379185301,General
2130,2160,Star Soldier,NES,1986-01-01,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,0.0114831379185301,Hardcore
2131,2161,Sonic Unleashed,X360,2008-01-01,Platform,Sega,0.54,0.33,0.0,0.09,0.96,0.0114831379185301,General
2132,2162,Lost Planet 2,PS3,2010-01-01,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96,0.0114831379185301,Hardcore
2133,2163,NHL 2001,PS2,2000-01-01,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,0.0114831379185301,General
2134,2164,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012-01-01,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,0.0114831379185301,General
2135,2165,My Weight Loss Coach,DS,2008-01-01,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.96,0.0114831379185301,General
2136,2166,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012-01-01,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96,0.0114831379185301,Hardcore
2137,2167,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006-01-01,Action,Capcom,0.39,0.0,0.53,0.03,0.96,0.0114831379185301,Hardcore
2138,2168,Shinobi,PS2,2002-01-01,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,0.0114831379185301,General
2139,2169,Mortal Kombat: Deadly Alliance,XB,2002-01-01,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96,0.0114831379185301,General
2140,2170,The Witcher 2: Assassins of Kings,PC,2011-01-01,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96,0.0114831379185301,Hardcore
2141,2171,PilotWings Resort,3DS,2011-01-01,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96,0.0114831379185301,General
2142,2172,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013-01-01,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96,0.0114831379185301,General
2143,2173,LEGO Jurassic World,X360,2015-01-01,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0.0,0.08,0.95,0.0113622627825456,Hardcore
2144,2174,ESPN NBA 2K5,XB,2004-01-01,Sports,Global Star,0.88,0.04,0.0,0.04,0.95,0.0113622627825456,General
2145,2176,World Championship Poker,PS2,2004-01-01,Misc,Play It,0.8,0.03,0.0,0.13,0.95,0.0113622627825456,General
2146,2177,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005-01-01,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95,0.0113622627825456,Hardcore
2147,2178,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003-01-01,Platform,THQ,0.74,0.19,0.0,0.03,0.95,0.0113622627825456,General
2148,2179,South Park: The Stick of Truth,X360,2014-01-01,Role-Playing,Ubisoft,0.57,0.3,0.0,0.08,0.95,0.0113622627825456,General
2149,2180,Ben 10: Alien Force,DS,2008-01-01,Action,Koch Media,0.65,0.22,0.0,0.09,0.95,0.0113622627825456,Hardcore
2150,2181,SingStar Abba,PS3,2008-01-01,Misc,Sony Computer Entertainment,0.27,0.51,0.0,0.17,0.95,0.0113622627825456,General
2151,2182,Cars 2,Wii,2011-01-01,Racing,Disney Interactive Studios,0.46,0.39,0.0,0.1,0.95,0.0113622627825456,All Ages
2152,2183,Wild ARMs,PS,1996-01-01,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,0.0113622627825456,General
2153,2184,Kessen,PS2,2000-01-01,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,0.0113622627825456,General
2154,2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003-01-01,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95,0.0113622627825456,General
2155,2186,NCAA Football 2000,PS,1999-01-01,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95,0.0113622627825456,General
2156,2187,Brutal Legend,PS3,2009-01-01,Action,Electronic Arts,0.54,0.28,0.0,0.13,0.95,0.0113622627825456,Hardcore
2157,2188,Skylanders: Spyro's Adventure,PS3,2011-01-01,Action,Activision,0.39,0.4,0.0,0.16,0.95,0.0113622627825456,Hardcore
2158,2189,Guitar Hero: Metallica,Wii,2009-01-01,Misc,Activision,0.41,0.43,0.0,0.1,0.95,0.0113622627825456,General
2159,2190,Evolve,PS4,2015-01-01,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95,0.0113622627825456,Hardcore
2160,2191,WWE SmackDown vs. Raw 2009,PS3,2008-01-01,Fighting,THQ,0.51,0.31,0.01,0.13,0.95,0.0113622627825456,General
2161,2192,Army of Two: The 40th Day,X360,2010-01-01,Shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95,0.0113622627825456,Hardcore
2162,2193,Tony Hawk: RIDE,Wii,2009-01-01,Sports,Activision,0.7,0.17,0.0,0.08,0.95,0.0113622627825456,General
2163,2194,Lego Batman 3: Beyond Gotham,X360,2014-01-01,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0.0,0.08,0.95,0.0113622627825456,Hardcore
2164,2195,Wii Play: Motion,Wii,2011-01-01,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95,0.0113622627825456,General
2165,2196,Killzone,PS2,2004-01-01,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94,0.0112413876465611,Hardcore
2166,2197,The Tomb Raider Trilogy,PS3,2011-01-01,Action,Square Enix,0.27,0.5,0.0,0.17,0.94,0.0112413876465611,Hardcore
2167,2198,Colin McRae Rally 04,PS2,2003-01-01,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,0.0112413876465611,All Ages
2168,2199,Star Fox 64 3D,3DS,2011-01-01,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94,0.0112413876465611,Hardcore
2169,2200,The SpongeBob SquarePants Movie,GC,2004-01-01,Platform,THQ,0.73,0.19,0.0,0.03,0.94,0.0112413876465611,General
2170,2201,Rocksmith 2014,X360,2013-01-01,Misc,Ubisoft,0.69,0.17,0.0,0.08,0.94,0.0112413876465611,General
2171,2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996-01-01,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94,0.0112413876465611,General
2172,2203,Cars,Wii,2006-01-01,Racing,THQ,0.83,0.04,0.0,0.07,0.94,0.0112413876465611,All Ages
2173,2204,Assassin's Creed III,PC,2012-01-01,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,0.0112413876465611,Hardcore
2174,2205,Castlevania: Lament of Innocence,PS2,2003-01-01,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,0.0112413876465611,Hardcore
2175,2206,Mario Tennis Open,3DS,2012-01-01,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94,0.0112413876465611,General
2176,2207,The Witcher 2: Assassins of Kings,X360,2012-01-01,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94,0.0112413876465611,Hardcore
2177,2208,Bayonetta,X360,2009-01-01,Action,Sega,0.51,0.26,0.09,0.08,0.94,0.0112413876465611,Hardcore
2178,2209,Destroy All Humans!,PS2,2005-01-01,Shooter,THQ,0.78,0.03,0.0,0.13,0.94,0.0112413876465611,Hardcore
2179,2210,MVP Baseball 2005,XB,2005-01-01,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,0.0112413876465611,General
2180,2211,SaGa Frontier 2,PS,1999-01-01,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94,0.0112413876465611,General
2181,2212,NCAA Football 10,X360,2009-01-01,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,0.0112413876465611,General
2182,2213,MLB 2000,PS,1999-01-01,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94,0.0112413876465611,General
2183,2214,The Legend of Zelda: Twilight Princess HD,WiiU,2016-01-01,Action,Nintendo,0.48,0.3,0.08,0.08,0.94,0.0112413876465611,Hardcore
2184,2215,Bully,PS2,2006-01-01,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,0.0112413876465611,Hardcore
2185,2216,Prince of Persia: The Sands of Time,XB,2003-01-01,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,0.0112413876465611,Hardcore
2186,2217,Phantasy Star Portable,PSP,2008-01-01,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,0.0112413876465611,General
2187,2218,Hot Shots Golf Fore!,PS2,2003-01-01,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94,0.0112413876465611,General
2188,2219,MLB 06: The Show,PS2,2006-01-01,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,0.0112413876465611,General
2189,2220,NHL 2003,PS2,2002-01-01,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,0.0111205125105765,General
2190,2221,Operation Flashpoint: Dragon Rising,X360,2009-01-01,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,0.0111205125105765,Hardcore
2191,2222,Nickelodeon Fit,Wii,2010-01-01,Sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93,0.0111205125105765,General
2192,2223,Buzz! Quiz World,PS3,2009-01-01,Misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93,0.0111205125105765,General
2193,2225,Tony Hawk's Pro Skater 4,XB,2002-01-01,Sports,Activision,0.59,0.3,0.0,0.04,0.93,0.0111205125105765,General
2194,2226,Borderlands 2,PC,2012-01-01,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,0.0111205125105765,Hardcore
2195,2227,EA Sports Grand Slam Tennis,Wii,2009-01-01,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93,0.0111205125105765,General
2196,2228,White Knight Chronicles: International Edition,PS3,2008-01-01,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,0.0111205125105765,General
2197,2229,SSX,PS3,2012-01-01,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93,0.0111205125105765,General
2198,2230,Sonic Riders: Zero Gravity,Wii,2008-01-01,Racing,Sega,0.5,0.32,0.02,0.1,0.93,0.0111205125105765,All Ages
2199,2231,LEGO Jurassic World,PS3,2015-01-01,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93,0.0111205125105765,Hardcore
2200,2232,Build-A-Bear Workshop,DS,2007-01-01,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,0.0111205125105765,General
2201,2233,Crash City Mayhem,GBA,2004-01-01,Racing,THQ,0.67,0.25,0.0,0.02,0.93,0.0111205125105765,All Ages
2202,2234,Spider-Man,2600,1981-01-01,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,0.0111205125105765,Hardcore
2203,2235,Mega Man 4,NES,1991-01-01,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,0.0111205125105765,General
2204,2236,Castlevania II: Simon's Quest,NES,1987-01-01,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,0.0111205125105765,General
2205,2237,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999-01-01,Platform,Activision,0.71,0.2,0.0,0.01,0.93,0.0111205125105765,General
2206,2238,Teenage Mutant Ninja Turtles,GBA,2003-01-01,Action,Unknown,0.67,0.25,0.0,0.02,0.93,0.0111205125105765,Hardcore
2207,2239,MLB 07: The Show,PS2,2007-01-01,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,0.0111205125105765,General
2208,2240,Skylanders: Trap Team,X360,2014-01-01,Action,Activision,0.54,0.31,0.0,0.08,0.93,0.0111205125105765,Hardcore
2209,2241,Cars,GC,2006-01-01,Racing,THQ,0.72,0.19,0.0,0.03,0.93,0.0111205125105765,All Ages
2210,2242,Brothers in Arms: Hell's Highway,PS3,2008-01-01,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,0.0111205125105765,Hardcore
2211,2243,Inazuma Eleven 3,DS,2010-01-01,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,0.0111205125105765,General
2212,2244,Pokken Tournament,WiiU,2016-01-01,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93,0.0111205125105765,General
2213,2245,SnoCross Championship Racing,PS,1999-01-01,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,0.0111205125105765,All Ages
2214,2246,Teenage Mutant Ninja Turtles,PS2,2003-01-01,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,0.010999637374592,Hardcore
2215,2247,Top Gun: Combat Zones,PS2,2001-01-01,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,0.010999637374592,General
2216,2248,Blue Dragon,X360,2006-01-01,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92,0.010999637374592,General
2217,2249,007: The World is not Enough,PS,2000-01-01,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,0.010999637374592,Hardcore
2218,2250,NCAA Football 11,X360,2010-01-01,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,0.010999637374592,General
2219,2251,NHL 98,PS,1997-01-01,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92,0.010999637374592,General
2220,2252,FIFA Street,X360,2012-01-01,Sports,Electronic Arts,0.17,0.65,0.0,0.1,0.92,0.010999637374592,General
2221,2253,EA Sports Active 2,PS3,2010-01-01,Sports,Electronic Arts,0.52,0.28,0.0,0.12,0.92,0.010999637374592,General
2222,2254,SpongeBob SquarePants: The Yellow Avenger,PSP,2006-01-01,Action,THQ,0.55,0.21,0.0,0.16,0.92,0.010999637374592,Hardcore
2223,2255,WWE SmackDown vs. Raw 2009,X360,2008-01-01,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,0.010999637374592,General
2224,2256,Dante's Inferno,X360,2010-01-01,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,0.010999637374592,Hardcore
2225,2257,Wipeout: In The Zone,X360,2011-01-01,Misc,Activision,0.87,0.0,0.0,0.05,0.92,0.010999637374592,General
2226,2258,Space Jam,PS,1996-01-01,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92,0.010999637374592,General
2227,2259,Kung Fu Panda,Wii,2008-01-01,Action,Activision,0.5,0.32,0.0,0.09,0.92,0.010999637374592,Hardcore
2228,2260,Knockout Kings 2000,N64,1999-01-01,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92,0.010999637374592,General
2229,2261,Balloon Fight,NES,1985-01-01,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,0.010999637374592,General
2230,2262,Assassin's Creed,PC,2008-01-01,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,0.010999637374592,Casual
2231,2263,Disney Magical World,3DS,2013-01-01,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92,0.010999637374592,Casual
2232,2264,Crysis 3,X360,2013-01-01,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92,0.010999637374592,Hardcore
2233,2265,Lego Batman 3: Beyond Gotham,PS4,2014-01-01,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0.0,0.15,0.92,0.010999637374592,Hardcore
2234,2266,Dynasty Warriors 7,PS3,2011-01-01,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92,0.010999637374592,Hardcore
2235,2267,The Evil Within,PS3,2014-01-01,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,0.010999637374592,Hardcore
2236,2268,MLB 12: The Show,PS3,2012-01-01,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,0.010999637374592,General
2237,2269,Sonic Riders,GC,2006-01-01,Racing,Sega,0.71,0.18,0.0,0.03,0.92,0.010999637374592,All Ages
2238,2270,Starsky & Hutch,PS2,2003-01-01,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,0.010999637374592,All Ages
2239,2271,Tobal No.1,PS,1996-01-01,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,0.010999637374592,General
2240,2272,Lost Odyssey,X360,2007-01-01,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92,0.010999637374592,General
2241,2273,MLB 15: The Show,PS4,2015-01-01,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92,0.010999637374592,General
2242,2274,Operation Flashpoint: Dragon Rising,PS3,2009-01-01,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92,0.010999637374592,Hardcore
2243,2275,Homefront,PS3,2011-01-01,Shooter,THQ,0.32,0.4,0.04,0.15,0.91,0.0108787622386075,Hardcore
2244,2276,AMF Bowling Pinbusters!,Wii,2007-01-01,Sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91,0.0108787622386075,General
2245,2277,Street Hoops,PS2,2002-01-01,Sports,Activision,0.45,0.35,0.0,0.12,0.91,0.0108787622386075,General
2246,2278,Avatar: The Game,PS3,2009-01-01,Action,Ubisoft,0.32,0.43,0.0,0.16,0.91,0.0108787622386075,Hardcore
2247,2279,Harvest Moon 3D: A New Beginning,3DS,2012-01-01,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,0.0108787622386075,Hardcore
2248,2280,Tom Clancy's EndWar,X360,2008-01-01,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,0.0108787622386075,General
2249,2281,Knockout Kings 2002,PS2,2002-01-01,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,0.0108787622386075,General
2250,2282,Tokyo Xtreme Racer 3,PS2,2003-01-01,Racing,Genki,0.35,0.27,0.21,0.09,0.91,0.0108787622386075,All Ages
2251,2283,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009-01-01,Action,Activision,0.47,0.3,0.0,0.13,0.91,0.0108787622386075,Hardcore
2252,2284,Colin McRae Rally 2.0,PS,2000-01-01,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,0.0108787622386075,All Ages
2253,2285,Glover,N64,1998-01-01,Platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91,0.0108787622386075,General
2254,2286,MX vs. ATV Reflex,PS3,2009-01-01,Racing,THQ,0.52,0.26,0.0,0.12,0.91,0.0108787622386075,All Ages
2255,2287,Minecraft: Story Mode,X360,2015-01-01,Adventure,Mojang,0.46,0.38,0.0,0.08,0.91,0.0108787622386075,Casual
2256,2289,Marvel: Ultimate Alliance 2,X360,2009-01-01,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91,0.0108787622386075,General
2257,2290,Call of Duty: World at War,DS,2008-01-01,Shooter,Activision,0.57,0.26,0.0,0.08,0.91,0.0108787622386075,Hardcore
2258,2291,Super Momotarou Dentetsu III,SNES,1994-01-01,Simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91,0.0108787622386075,General
2259,2292,Sonic Mega Collection Plus,XB,2004-01-01,Misc,Sega,0.61,0.26,0.0,0.04,0.91,0.0108787622386075,General
2260,2293,DJ Hero,PS3,2009-01-01,Misc,Activision,0.42,0.34,0.0,0.14,0.91,0.0108787622386075,General
2261,2294,Dragon Age: Inquisition,XOne,2014-01-01,Role-Playing,Electronic Arts,0.55,0.28,0.0,0.07,0.91,0.0108787622386075,General
2262,2295,The Simpsons Game,PS3,2007-01-01,Action,Electronic Arts,0.38,0.37,0.0,0.15,0.91,0.0108787622386075,Hardcore
2263,2296,Tiger Woods PGA Tour 2002,PS2,2002-01-01,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,0.0107578871026229,General
2264,2298,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996-01-01,Racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9,0.0107578871026229,All Ages
2265,2299,MLB 2005,PS2,2004-01-01,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,0.0107578871026229,General
2266,2300,SOCOM 4: U.S. Navy SEALs,PS3,2011-01-01,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9,0.0107578871026229,Hardcore
2267,2301,Burnout Revenge,PS2,2005-01-01,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,0.0107578871026229,All Ages
2268,2302,Buzz! Quiz TV,PS3,2008-01-01,Misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9,0.0107578871026229,General
2269,2303,We Ski & Snowboard,Wii,2008-01-01,Sports,Atari,0.38,0.29,0.15,0.08,0.9,0.0107578871026229,General
2270,2304,Destruction Derby,PS,1995-01-01,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9,0.0107578871026229,All Ages
2271,2305,TouchMaster 2,DS,2008-01-01,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9,0.0107578871026229,Casual
2272,2306,Crysis 3,PS3,2013-01-01,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9,0.0107578871026229,Hardcore
2273,2307,3Xtreme,PS,1999-01-01,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,0.0107578871026229,Hardcore
2274,2308,Hot Shots Tennis,PS2,2006-01-01,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,0.0107578871026229,General
2275,2309,Sonic Heroes,XB,2003-01-01,Platform,Sega,0.41,0.43,0.01,0.05,0.9,0.0107578871026229,General
2276,2310,Resistance: Retribution,PSP,2009-01-01,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9,0.0107578871026229,Hardcore
2277,2311,Tiger Woods PGA Tour 12: The Masters,PS3,2011-01-01,Sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9,0.0107578871026229,General
2278,2312,Star Wars: The Force Unleashed,DS,2008-01-01,Action,LucasArts,0.51,0.29,0.0,0.09,0.9,0.0107578871026229,Hardcore
2279,2313,Madden NFL 99,N64,1998-01-01,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9,0.0107578871026229,General
2280,2314,Spider-Man 3,PS2,2007-01-01,Platform,Activision,0.74,0.03,0.01,0.12,0.9,0.0107578871026229,General
2281,2315,James Bond 007: Agent Under Fire,XB,2002-01-01,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,0.0107578871026229,Hardcore
2282,2316,Samba De Amigo,Wii,2008-01-01,Misc,Sega,0.42,0.37,0.01,0.1,0.9,0.0107578871026229,General
2283,2317,The Elder Scrolls Online,PC,2014-01-01,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9,0.0107578871026229,General
2284,2318,Pure,PS3,2008-01-01,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.9,0.0107578871026229,All Ages
2285,2319,FIFA Soccer 09 All-Play,Wii,2008-01-01,Sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9,0.0107578871026229,General
2286,2320,Fossil Fighters,DS,2008-01-01,Role-Playing,Nintendo,0.84,0.0,0.0,0.06,0.9,0.0107578871026229,General
2287,2321,LittleBigPlanet Karting,PS3,2012-01-01,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9,0.0107578871026229,Hardcore
2288,2322,X-Men Legends,XB,2004-01-01,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,0.0107578871026229,General
2289,2323,NBA Live 2005,XB,2004-01-01,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,0.0107578871026229,General
2290,2324,Harry Potter: Quidditch World Cup,PS2,2003-01-01,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,0.0107578871026229,General
2291,2325,The Biggest Loser: Ultimate Workout,X360,2010-01-01,Sports,THQ,0.73,0.1,0.0,0.06,0.9,0.0107578871026229,General
2292,2326,Madagascar,GBA,2005-01-01,Platform,Activision,0.62,0.24,0.0,0.03,0.89,0.0106370119666384,General
